"File","Line","Crate","RiskLevel","Context","Code"
"astraweave-cinematics\src\lib.rs","174","astraweave-cinematics","P0-Critical","seq.step(0.5, &tl)","let evs0 = seq.step(0.5, &tl).unwrap();"
"astraweave-cinematics\src\lib.rs","176","astraweave-cinematics","P0-Critical","seq.step(0.6, &tl)","let evs1 = seq.step(0.6, &tl).unwrap();"
"astraweave-cinematics\src\lib.rs","178","astraweave-cinematics","P0-Critical","seq.step(0.9, &tl)","let evs2 = seq.step(0.9, &tl).unwrap();"
"astraweave-cinematics\src\lib.rs","180","astraweave-cinematics","P0-Critical","seq.step(1.0, &tl)","let evs3 = seq.step(1.0, &tl).unwrap();"
"astraweave-cinematics\src\lib.rs","200","astraweave-cinematics","P0-Critical","serde_json::to_string_pretty(&tl)","let s = serde_json::to_string_pretty(&tl).unwrap();"
"astraweave-cinematics\src\lib.rs","201","astraweave-cinematics","P0-Critical","serde_json::from_str(&s)","let de: Timeline = serde_json::from_str(&s).unwrap();"
"astraweave-context\src\history.rs","546","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\history.rs","550","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\history.rs","552","astraweave-context","P0-Critical","history.get_context(1000).await","let context = history.get_context(1000).await.unwrap();"
"astraweave-context\src\history.rs","569","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\history.rs","573","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\history.rs","577","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\history.rs","605","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\history.rs","623","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\history.rs","627","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\history.rs","531","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\token_counter.rs","398","astraweave-context","P0-Critical","counter.count_tokens(text)","let count2 = counter.count_tokens(text).unwrap();"
"astraweave-context\src\token_counter.rs","411","astraweave-context","P0-Critical","counter.truncate_to_tokens(&long_text, 10)","let truncated = counter.truncate_to_tokens(&long_text, 10).unwrap();"
"astraweave-context\src\token_counter.rs","395","astraweave-context","P0-Critical","counter.count_tokens(text)","let count1 = counter.count_tokens(text).unwrap();"
"astraweave-context\src\token_counter.rs","455","astraweave-context","P0-Critical","budget.use_tokens(300)","budget.use_tokens(300).unwrap();"
"astraweave-context\src\token_counter.rs","423","astraweave-context","P0-Critical","counter.chunk_by_tokens(&long_text, 20)","let chunks = counter.chunk_by_tokens(&long_text, 20).unwrap();"
"astraweave-context\src\token_counter.rs","428","astraweave-context","P0-Critical","counter.count_tokens(chunk)","let count = counter.count_tokens(chunk).unwrap();"
"astraweave-context\src\token_counter.rs","383","astraweave-context","P0-Critical","counter.count_tokens(""Hello, world!"")","let count = counter.count_tokens(""Hello, world!"").unwrap();"
"astraweave-context\src\token_counter.rs","477","astraweave-context","P0-Critical","counter.count_tokens(prefix)","let token_count = counter.count_tokens(prefix).unwrap();"
"astraweave-context\src\token_counter.rs","413","astraweave-context","P0-Critical","counter.count_tokens(&truncated)","let truncated_count = counter.count_tokens(&truncated).unwrap();"
"astraweave-context\src\token_counter.rs","459","astraweave-context","P0-Critical","budget.reserve(""context"", 200)","budget.reserve(""context"", 200).unwrap();"
"astraweave-context\src\token_counter.rs","471","astraweave-context","P0-Critical","counter.find_split_point(text, 5)","let split_point = counter.find_split_point(text, 5).unwrap();"
"astraweave-context\src\window.rs","611","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\window.rs","608","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\window.rs","605","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\window.rs","588","astraweave-context","P0-Critical","window.add_message(message)","window.add_message(message).unwrap();"
"astraweave-context\src\window.rs","637","astraweave-context","P0-Critical","window.add_message(important_msg)","window.add_message(important_msg).unwrap();"
"astraweave-context\src\window.rs","674","astraweave-context","P0-Critical","manager.get_agent_window(""agent1"")","let agent1_window = manager.get_agent_window(""agent1"").unwrap();"
"astraweave-context\src\window.rs","677","astraweave-context","P0-Critical","manager.get_agent_window(""agent2"")","let agent2_window = manager.get_agent_window(""agent2"").unwrap();"
"astraweave-context\src\window.rs","688","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\window.rs","691","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\window.rs","640","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\window.rs","636","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-context\src\window.rs","671","astraweave-context","P0-Critical",".unwrap();",".unwrap();"
"astraweave-coordination\src\agent.rs","561","astraweave-coordination","P0-Critical","await","agent.join_coordination(context.clone()).await.unwrap();"
"astraweave-coordination\src\agent.rs","568","astraweave-coordination","P0-Critical","await","agent.update_shared_state(""test_key"".to_string(), serde_json::json!(""test_value"")).await.unwrap();"
"astraweave-coordination\src\coordination.rs","858","astraweave-coordination","P0-Critical","coordinator.assign_task(task).await","let assigned_agent = coordinator.assign_task(task).await.unwrap();"
"astraweave-coordination\src\coordination.rs","855","astraweave-coordination","P0-Critical","await","coordinator.register_agent(Box::new(agent)).await.unwrap();"
"astraweave-coordination\src\coordination.rs","841","astraweave-coordination","P0-Critical","await","coordinator.register_agent(Box::new(agent)).await.unwrap();"
"astraweave-coordination\src\narrative_coherence.rs","1152","astraweave-coordination","P0-Critical","let engine = NarrativeCoherenceEngine::new(llm_client, rag_pipeline, CoherenceConfig::default()).unwrap();","let engine = NarrativeCoherenceEngine::new(llm_client, rag_pipeline, CoherenceConfig::default()).unwrap();"
"astraweave-coordination\src\world_events.rs","909","astraweave-coordination","P0-Critical","generator.update_world_state(updates).await","generator.update_world_state(updates).await.unwrap();"
"astraweave-coordination\src\world_events.rs","903","astraweave-coordination","P0-Critical","let generator = WorldEventGenerator::new(llm_client, rag_pipeline, EventGenerationConfig::default()).unwrap();","let generator = WorldEventGenerator::new(llm_client, rag_pipeline, EventGenerationConfig::default()).unwrap();"
"astraweave-core\src\ecs_adapter.rs","367","astraweave-core","P0-Critical",".unwrap()",".unwrap()"
"astraweave-core\src\ecs_adapter.rs","359","astraweave-core","P0-Critical",".unwrap()",".unwrap()"
"astraweave-core\src\ecs_adapter.rs","352","astraweave-core","P0-Critical","legacy_world.pos_of(legacy_entity)","let legacy_pos = legacy_world.pos_of(legacy_entity).unwrap();"
"astraweave-core\src\ecs_adapter.rs","277","astraweave-core","P0-Critical","let evs = app.world.get_resource_mut::<Events<MovedEvent>>().unwrap();","let evs = app.world.get_resource_mut::<Events<MovedEvent>>().unwrap();"
"astraweave-core\src\ecs_adapter.rs","252","astraweave-core","P0-Critical","let p = app.world.get::<CPos>(e).unwrap();","let p = app.world.get::<CPos>(e).unwrap();"
"astraweave-core\src\ecs_adapter.rs","223","astraweave-core","P0-Critical",".unwrap();",".unwrap();"
"astraweave-core\src\ecs_adapter.rs","197","astraweave-core","P0-Critical","let w2 = app.world.get_resource::<World>().unwrap();","let w2 = app.world.get_resource::<World>().unwrap();"
"astraweave-core\src\validation.rs","283","astraweave-core","P0-Critical","w.pos_of(actor)","let my = w.pos_of(actor).unwrap();"
"astraweave-core\src\validation.rs","301","astraweave-core","P0-Critical","w.ammo_mut(actor)","let ammo = w.ammo_mut(actor).unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1031","astraweave-dialogue","P0-Critical","await",").await.unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1002","astraweave-dialogue","P0-Critical","await",").await.unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1025","astraweave-dialogue","P0-Critical","await",").await.unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1038","astraweave-dialogue","P0-Critical","conversation","let conv = conversation.unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1063","astraweave-dialogue","P0-Critical","dialogue_system.analyze_emotion(""I'm so happy and excited!"").await","let positive_emotion = dialogue_system.analyze_emotion(""I'm so happy and excited!"").await.unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1060","astraweave-dialogue","P0-Critical","await",").await.unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1094","astraweave-dialogue","P0-Critical","await",").await.unwrap()"
"astraweave-dialogue\src\llm_dialogue.rs","775","astraweave-dialogue","P0-Critical","Regex::new(r""[.]{3,}"")","let re = Regex::new(r""[.]{3,}"").unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1068","astraweave-dialogue","P0-Critical","dialogue_system.analyze_emotion(""I'm really sad and frustrated"").await","let negative_emotion = dialogue_system.analyze_emotion(""I'm really sad and frustrated"").await.unwrap();"
"astraweave-dialogue\src\llm_dialogue.rs","1072","astraweave-dialogue","P0-Critical","dialogue_system.analyze_emotion(""The weather is okay today"").await","let neutral_emotion = dialogue_system.analyze_emotion(""The weather is okay today"").await.unwrap();"
"astraweave-director\src\llm_director.rs","640","astraweave-director","P0-Critical","LlmDirector::new(llm_client, rag_pipeline, config)","let director = LlmDirector::new(llm_client, rag_pipeline, config).unwrap();"
"astraweave-ecs\src\blob_vec.rs","277","astraweave-ecs","P0-Critical","let pos1 = blob.get::<Position>(0).unwrap();","let pos1 = blob.get::<Position>(0).unwrap();"
"astraweave-ecs\src\blob_vec.rs","281","astraweave-ecs","P0-Critical","let pos2 = blob.get::<Position>(1).unwrap();","let pos2 = blob.get::<Position>(1).unwrap();"
"astraweave-ecs\src\blob_vec.rs","337","astraweave-ecs","P0-Critical","let pos = blob.get::<Position>(1).unwrap();","let pos = blob.get::<Position>(1).unwrap();"
"astraweave-ecs\src\events.rs","99","astraweave-ecs","P0-Critical","let queue = queue.downcast_mut::<EventQueue<E>>().unwrap();","let queue = queue.downcast_mut::<EventQueue<E>>().unwrap();"
"astraweave-ecs\src\lib.rs","638","astraweave-ecs","P0-Critical","let resource = world.get_resource::<TestResource>().unwrap();","let resource = world.get_resource::<TestResource>().unwrap();"
"astraweave-ecs\src\lib.rs","641","astraweave-ecs","P0-Critical","let resource_mut = world.get_resource_mut::<TestResource>().unwrap();","let resource_mut = world.get_resource_mut::<TestResource>().unwrap();"
"astraweave-ecs\src\lib.rs","644","astraweave-ecs","P0-Critical","let resource_after = world.get_resource::<TestResource>().unwrap();","let resource_after = world.get_resource::<TestResource>().unwrap();"
"astraweave-ecs\src\lib.rs","654","astraweave-ecs","P0-Critical","let pos_mut = world.get_mut::<Position>(entity).unwrap();","let pos_mut = world.get_mut::<Position>(entity).unwrap();"
"astraweave-ecs\src\lib.rs","657","astraweave-ecs","P0-Critical","let pos = world.get::<Position>(entity).unwrap();","let pos = world.get::<Position>(entity).unwrap();"
"astraweave-ecs\src\lib.rs","558","astraweave-ecs","P0-Critical","let pos = world.get::<Position>(entity).unwrap();","let pos = world.get::<Position>(entity).unwrap();"
"astraweave-embeddings\src\client.rs","512","astraweave-embeddings","P0-Critical","client.embed_batch(&texts).await","let embeddings = client.embed_batch(&texts).await.unwrap();"
"astraweave-embeddings\src\client.rs","495","astraweave-embeddings","P0-Critical","client.embed(text3).await","let emb3 = client.embed(text3).await.unwrap();"
"astraweave-embeddings\src\client.rs","493","astraweave-embeddings","P0-Critical","client.embed(text1).await","let emb1 = client.embed(text1).await.unwrap();"
"astraweave-embeddings\src\client.rs","494","astraweave-embeddings","P0-Critical","client.embed(text2).await","let emb2 = client.embed(text2).await.unwrap();"
"astraweave-embeddings\src\store.rs","438","astraweave-embeddings","P0-Critical",".unwrap();",".unwrap();"
"astraweave-embeddings\src\store.rs","368","astraweave-embeddings","P0-Critical",".unwrap();",".unwrap();"
"astraweave-embeddings\src\store.rs","386","astraweave-embeddings","P0-Critical",".unwrap();",".unwrap();"
"astraweave-embeddings\src\store.rs","365","astraweave-embeddings","P0-Critical",".unwrap();",".unwrap();"
"astraweave-embeddings\src\store.rs","352","astraweave-embeddings","P0-Critical","store.get(""test_1"")","let retrieved = store.get(""test_1"").unwrap();"
"astraweave-embeddings\src\store.rs","350","astraweave-embeddings","P0-Critical",".unwrap();",".unwrap();"
"astraweave-embeddings\src\store.rs","324","astraweave-embeddings","P0-Critical",".unwrap()",".unwrap()"
"astraweave-embeddings\src\store.rs","390","astraweave-embeddings","P0-Critical","store.remove(""test"")","let removed = store.remove(""test"").unwrap();"
"astraweave-embeddings\src\store.rs","428","astraweave-embeddings","P0-Critical",".unwrap();",".unwrap();"
"astraweave-embeddings\src\store.rs","371","astraweave-embeddings","P0-Critical",".unwrap();",".unwrap();"
"astraweave-embeddings\src\store.rs","375","astraweave-embeddings","P0-Critical","store.search(&query, 2)","let results = store.search(&query, 2).unwrap();"
"astraweave-embeddings\src\store.rs","453","astraweave-embeddings","P0-Critical","store.prune_vectors(2)","let removed = store.prune_vectors(2).unwrap();"
"astraweave-embeddings\src\store.rs","448","astraweave-embeddings","P0-Critical",".unwrap();",".unwrap();"
"astraweave-embeddings\src\utils.rs","371","astraweave-embeddings","P0-Critical",".unwrap()",".unwrap()"
"astraweave-embeddings\src\utils.rs","211","astraweave-embeddings","P0-Critical","memories.into_iter().next()","return memories.into_iter().next().unwrap();"
"astraweave-gameplay\src\combat_physics.rs","417","astraweave-gameplay","P0-Critical","result","let hit = result.unwrap();"
"astraweave-gameplay\src\combat_physics.rs","365","astraweave-gameplay","P0-Critical","result","let hit = result.unwrap();"
"astraweave-gameplay\src\combat_physics.rs","281","astraweave-gameplay","P0-Critical","result","let hit = result.unwrap();"
"astraweave-gameplay\src\combat_physics.rs","207","astraweave-gameplay","P0-Critical","result","let hit = result.unwrap();"
"astraweave-gameplay\src\ecs.rs","335","astraweave-gameplay","P0-Critical","let log = app.world.get::<CQuestLog>(quester).unwrap();","let log = app.world.get::<CQuestLog>(quester).unwrap();"
"astraweave-gameplay\src\ecs.rs","304","astraweave-gameplay","P0-Critical","let queue = app.world.get::<CCraftingQueue>(crafter).unwrap();","let queue = app.world.get::<CCraftingQueue>(crafter).unwrap();"
"astraweave-gameplay\src\ecs.rs","271","astraweave-gameplay","P0-Critical","let health = app.world.get::<CHealth>(target).unwrap();","let health = app.world.get::<CHealth>(target).unwrap();"
"astraweave-input\benches\input_benchmarks.rs","37","astraweave-input","P0-Critical","serde_json::to_string(&binding)","let serialized = serde_json::to_string(&binding).unwrap();"
"astraweave-input\src\lib.rs","20","astraweave-input","P0-Critical","serde_json::to_string(&key)","let serialized = serde_json::to_string(&key).unwrap();"
"astraweave-input\src\lib.rs","28","astraweave-input","P0-Critical","serde_json::to_string(&mouse)","let serialized = serde_json::to_string(&mouse).unwrap();"
"astraweave-input\src\lib.rs","29","astraweave-input","P0-Critical","serde_json::from_str(&serialized)","let deserialized: MouseButton = serde_json::from_str(&serialized).unwrap();"
"astraweave-input\src\lib.rs","41","astraweave-input","P0-Critical","serde_json::to_string(&binding)","let serialized = serde_json::to_string(&binding).unwrap();"
"astraweave-input\src\lib.rs","42","astraweave-input","P0-Critical","serde_json::from_str(&serialized)","let deserialized: Binding = serde_json::from_str(&serialized).unwrap();"
"astraweave-input\src\lib.rs","52","astraweave-input","P0-Critical","serde_json::to_string(&binding_set)","let serialized = serde_json::to_string(&binding_set).unwrap();"
"astraweave-input\src\lib.rs","21","astraweave-input","P0-Critical","serde_json::from_str(&serialized)","let deserialized: KeyCode = serde_json::from_str(&serialized).unwrap();"
"astraweave-input\src\lib.rs","53","astraweave-input","P0-Critical","serde_json::from_str(&serialized)","let _deserialized: BindingSet = serde_json::from_str(&serialized).unwrap();"
"astraweave-llm-eval\benches\evaluate_mock_llm.rs","42","astraweave-llm-eval","P0-Critical","times.iter().min()","let min_ms = times.iter().min().unwrap();"
"astraweave-llm-eval\benches\evaluate_mock_llm.rs","43","astraweave-llm-eval","P0-Critical","times.iter().max()","let max_ms = times.iter().max().unwrap();"
"astraweave-llm\benches\llm_benchmarks.rs","25","astraweave-llm","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-llm\benches\llm_benchmarks.rs","156","astraweave-llm","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-llm\benches\llm_benchmarks.rs","147","astraweave-llm","P0-Critical","state.lock()","let s = state.lock().unwrap();"
"astraweave-llm\benches\llm_benchmarks.rs","57","astraweave-llm","P0-Critical","await","let _response = client.complete(black_box(""test prompt"")).await.unwrap();"
"astraweave-llm\benches\llm_benchmarks.rs","42","astraweave-llm","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-llm\benches\resilience_benchmarks.rs","150","astraweave-llm","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-llm\benches\resilience_benchmarks.rs","109","astraweave-llm","P0-Critical","self.state.lock()","let mut state = self.state.lock().unwrap();"
"astraweave-llm\benches\resilience_benchmarks.rs","85","astraweave-llm","P0-Critical","self.state.lock()","let mut state = self.state.lock().unwrap();"
"astraweave-llm\benches\resilience_benchmarks.rs","284","astraweave-llm","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-llm\benches\resilience_benchmarks.rs","44","astraweave-llm","P0-Critical","self.state.lock()","let mut state = self.state.lock().unwrap();"
"astraweave-llm\benches\resilience_benchmarks.rs","66","astraweave-llm","P0-Critical","self.state.lock()","let mut state = self.state.lock().unwrap();"
"astraweave-llm\benches\resilience_benchmarks.rs","208","astraweave-llm","P0-Critical","tokio::runtime::Runtime::new()","let rt = tokio::runtime::Runtime::new().unwrap();"
"astraweave-llm\src\backpressure.rs","624","astraweave-llm","P0-Critical",".unwrap();",".unwrap();"
"astraweave-llm\src\backpressure.rs","644","astraweave-llm","P0-Critical","manager.start().await","manager.start().await.unwrap();"
"astraweave-llm\src\backpressure.rs","658","astraweave-llm","P0-Critical",".unwrap();",".unwrap();"
"astraweave-llm\src\backpressure.rs","669","astraweave-llm","P0-Critical",".unwrap();",".unwrap();"
"astraweave-llm\src\backpressure.rs","688","astraweave-llm","P0-Critical","manager.start().await","manager.start().await.unwrap();"
"astraweave-llm\src\backpressure.rs","702","astraweave-llm","P0-Critical",".unwrap();",".unwrap();"
"astraweave-llm\src\backpressure.rs","706","astraweave-llm","P0-Critical",".unwrap();",".unwrap();"
"astraweave-llm\src\backpressure.rs","710","astraweave-llm","P0-Critical",".unwrap();",".unwrap();"
"astraweave-llm\src\backpressure.rs","611","astraweave-llm","P0-Critical","manager.start().await","manager.start().await.unwrap();"
"astraweave-llm\src\cache\lru.rs","60","astraweave-llm","P0-Critical","self.inner.lock()","let mut inner = self.inner.lock().unwrap();"
"astraweave-llm\src\cache\lru.rs","108","astraweave-llm","P0-Critical","self.inner.lock()","let mut inner = self.inner.lock().unwrap();"
"astraweave-llm\src\cache\lru.rs","115","astraweave-llm","P0-Critical","self.inner.lock()","let inner = self.inner.lock().unwrap();"
"astraweave-llm\src\cache\lru.rs","41","astraweave-llm","P0-Critical","self.inner.lock()","let mut inner = self.inner.lock().unwrap();"
"astraweave-llm\src\cache\mod.rs","234","astraweave-llm","P0-Critical","result","let (cached_plan, decision) = result.unwrap();"
"astraweave-llm\src\circuit_breaker.rs","534","astraweave-llm","P0-Critical","manager.get_status(""test-model"").await","let status = manager.get_status(""test-model"").await.unwrap();"
"astraweave-llm\src\compression.rs","274","astraweave-llm","P0-Critical","})).unwrap();","})).unwrap();"
"astraweave-llm\src\fallback_system.rs","458","astraweave-llm","P0-Critical","tool.args.iter().next()","let (key, val) = tool.args.iter().next().unwrap();"
"astraweave-llm\src\lib.rs","1506","astraweave-llm","P0-Critical","result","let plan = result.unwrap();"
"astraweave-llm\src\lib.rs","1780","astraweave-llm","P0-Critical","parse_llm_plan(text, &reg)","let res = parse_llm_plan(text, &reg).unwrap();"
"astraweave-llm\src\lib.rs","1769","astraweave-llm","P0-Critical","parse_llm_plan(text, &reg)","let res = parse_llm_plan(text, &reg).unwrap();"
"astraweave-llm\src\lib.rs","1757","astraweave-llm","P0-Critical","parse_llm_plan(text, &reg)","let res = parse_llm_plan(text, &reg).unwrap();"
"astraweave-llm\src\lib.rs","1744","astraweave-llm","P0-Critical","parse_llm_plan(text, &reg)","let res = parse_llm_plan(text, &reg).unwrap();"
"astraweave-llm\src\lib.rs","1660","astraweave-llm","P0-Critical","result","let plan = result.unwrap();"
"astraweave-llm\src\lib.rs","1630","astraweave-llm","P0-Critical","result","let plan = result.unwrap();"
"astraweave-llm\src\lib.rs","1547","astraweave-llm","P0-Critical","result","let response = result.unwrap();"
"astraweave-llm\src\plan_parser.rs","605","astraweave-llm","P0-Critical","parse_llm_response(json, &reg)","let result = parse_llm_response(json, &reg).unwrap();"
"astraweave-llm\src\plan_parser.rs","578","astraweave-llm","P0-Critical","parse_llm_response(text, &reg)","let result = parse_llm_response(text, &reg).unwrap();"
"astraweave-llm\src\plan_parser.rs","553","astraweave-llm","P0-Critical","parse_llm_response(json, &reg)","let result = parse_llm_response(json, &reg).unwrap();"
"astraweave-llm\src\plan_parser.rs","526","astraweave-llm","P0-Critical","parse_llm_response(json, &reg)","let result = parse_llm_response(json, &reg).unwrap();"
"astraweave-llm\src\plan_parser.rs","543","astraweave-llm","P0-Critical","parse_llm_response(text, &reg)","let result = parse_llm_response(text, &reg).unwrap();"
"astraweave-llm\src\production_hardening.rs","713","astraweave-llm","P0-Critical","layer.shutdown().await","layer.shutdown().await.unwrap();"
"astraweave-llm\src\production_hardening.rs","687","astraweave-llm","P0-Critical","layer.start().await","layer.start().await.unwrap();"
"astraweave-llm\src\rate_limiter.rs","545","astraweave-llm","P0-Critical","rate_limiter.acquire(&context).await","let _permit1 = rate_limiter.acquire(&context).await.unwrap();"
"astraweave-llm\src\rate_limiter.rs","573","astraweave-llm","P0-Critical","status.model_status.get(""gpt-3.5-turbo"")","let model_status = status.model_status.get(""gpt-3.5-turbo"").unwrap();"
"astraweave-llm\src\scheduler.rs","393","astraweave-llm","P0-Critical","result","let response = result.unwrap();"
"astraweave-materials\src\lib.rs","156","astraweave-materials","P0-Critical","compile_to_wgsl(&g)","let (wgsl, _b) = compile_to_wgsl(&g).unwrap();"
