Found 136 mutants to test
ok       Unmutated baseline in 1s build + 14s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:453:41: replace >= with < in SliceOrchestrator::sync_hud_from_walkthrough_events in 21s build + 6s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:462:24: delete ! in SliceOrchestrator::sync_hud_from_walkthrough_events in 19s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:482:25: delete match arm WalkthroughBeat::BossDefeated in SliceOrchestrator::sync_hud_from_walkthrough_events in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:507:24: delete ! in SliceOrchestrator::sync_hud_from_walkthrough_events in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:539:17: delete match arm CombatEvent::ComboLanded{combo_hits} in SliceOrchestrator::sync_vfx_combat in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:540:36: replace >= with < in SliceOrchestrator::sync_vfx_combat in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:559:9: replace SliceOrchestrator::tick_ai_subsystems with () in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:566:20: replace && with || in SliceOrchestrator::tick_ai_subsystems in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:579:30: replace > with == in SliceOrchestrator::tick_ai_subsystems in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:579:30: replace > with < in SliceOrchestrator::tick_ai_subsystems in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:579:30: replace > with >= in SliceOrchestrator::tick_ai_subsystems in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:580:39: replace - with + in SliceOrchestrator::tick_ai_subsystems in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:580:39: replace - with / in SliceOrchestrator::tick_ai_subsystems in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:580:59: replace * with + in SliceOrchestrator::tick_ai_subsystems in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:580:59: replace * with / in SliceOrchestrator::tick_ai_subsystems in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:582:54: replace * with + in SliceOrchestrator::tick_ai_subsystems in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:582:54: replace * with / in SliceOrchestrator::tick_ai_subsystems in 19s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:589:21: delete match arm crate::boss_encounter::BossEncounterEvent::Defeated in SliceOrchestrator::tick_ai_subsystems in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:593:21: delete match arm crate::boss_encounter::BossEncounterEvent::EncounterStarted{..} in SliceOrchestrator::tick_ai_subsystems in 20s build + 14s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:606:20: delete ! in SliceOrchestrator::tick_ai_subsystems in 24s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:622:9: replace SliceOrchestrator::build_world_snapshot -> astraweave_core::WorldSnapshot with Default::default() in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:639:46: replace + with - in SliceOrchestrator::build_world_snapshot in 22s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:639:46: replace + with * in SliceOrchestrator::build_world_snapshot in 20s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:654:9: replace SliceOrchestrator::build_enemy_snapshot -> Vec<astraweave_core::EnemyState> with vec![] in 23s build + 8s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:654:9: replace SliceOrchestrator::build_enemy_snapshot -> Vec<astraweave_core::EnemyState> with vec![Default::default()] in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:656:12: delete ! in SliceOrchestrator::build_enemy_snapshot in 39s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:669:40: replace + with - in SliceOrchestrator::build_enemy_snapshot in 20s build + 8s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:669:40: replace + with * in SliceOrchestrator::build_enemy_snapshot in 25s build + 20s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:669:51: replace * with + in SliceOrchestrator::build_enemy_snapshot in 28s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:669:51: replace * with / in SliceOrchestrator::build_enemy_snapshot in 22s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:802:34: replace || with && in SliceOrchestrator::evaluate_beat in 21s build + 7s test
MISSED   veilweaver_slice_runtime/src/walkthrough.rs:875:32: replace || with && in SliceOrchestrator::damage_player in 24s build + 7s test
136 mutants tested in 62m: 47 missed, 82 caught, 7 unviable
