astraweave-terrain/src/lib.rs:182:36: replace == with != in WorldGenerator::scatter_chunk_content
astraweave-terrain/src/advanced_erosion.rs:581:85: replace - with / in AdvancedErosionSimulator::apply_wind_erosion
astraweave-terrain/src/advanced_erosion.rs:584:48: replace * with + in AdvancedErosionSimulator::apply_wind_erosion
astraweave-terrain/src/advanced_erosion.rs:586:48: replace * with + in AdvancedErosionSimulator::apply_wind_erosion
astraweave-terrain/src/advanced_erosion.rs:595:39: replace > with < in AdvancedErosionSimulator::apply_wind_erosion
astraweave-terrain/src/advanced_erosion.rs:666:21: replace + with * in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:674:23: replace - with + in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:675:23: replace - with / in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:679:29: replace * with / in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:679:81: replace * with / in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:679:76: replace - with / in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:682:42: replace + with - in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:682:30: replace * with / in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:682:49: replace - with / in AdvancedErosionSimulator::calculate_height_and_gradient
astraweave-terrain/src/advanced_erosion.rs:701:23: replace - with / in AdvancedErosionSimulator::sample_height_bilinear
astraweave-terrain/src/advanced_erosion.rs:704:81: replace + with * in AdvancedErosionSimulator::sample_height_bilinear
astraweave-terrain/src/advanced_erosion.rs:704:13: replace * with / in AdvancedErosionSimulator::sample_height_bilinear
astraweave-terrain/src/advanced_erosion.rs:704:65: replace * with + in AdvancedErosionSimulator::sample_height_bilinear
astraweave-terrain/src/advanced_erosion.rs:704:87: replace * with / in AdvancedErosionSimulator::sample_height_bilinear
astraweave-terrain/src/advanced_erosion.rs:722:30: replace * with / in AdvancedErosionSimulator::deposit_sediment
astraweave-terrain/src/advanced_erosion.rs:723:22: replace * with + in AdvancedErosionSimulator::deposit_sediment
astraweave-terrain/src/advanced_erosion.rs:724:18: replace - with + in AdvancedErosionSimulator::deposit_sediment
astraweave-terrain/src/advanced_erosion.rs:732:21: replace + with * in AdvancedErosionSimulator::deposit_sediment
astraweave-terrain/src/advanced_erosion.rs:765:20: replace ^= with |= in SimpleRng::next
astraweave-terrain/src/background_loader.rs:208:9: replace TerrainRateLimiter::can_request -> bool with false
astraweave-terrain/src/background_loader.rs:235:9: replace TerrainRateLimiter::remaining_cooldown -> f32 with 1.0
astraweave-terrain/src/background_loader.rs:246:9: replace TerrainRateLimiter::active_count -> usize with 1
astraweave-terrain/src/background_loader.rs:377:37: replace + with * in BackgroundChunkLoader::set_frame_time
astraweave-terrain/src/background_loader.rs:421:34: replace * with + in BackgroundChunkLoader::get_predicted_position
astraweave-terrain/src/background_loader.rs:463:42: replace + with - in BackgroundChunkLoader::request_chunks_around_camera
astraweave-terrain/src/background_loader.rs:594:9: replace BackgroundChunkLoader::get_chunk -> Option<TerrainChunk> with None
astraweave-terrain/src/background_loader.rs:639:22: replace += with *= in BackgroundChunkLoader::unload_distant_chunks
astraweave-terrain/src/background_loader.rs:726:9: replace BackgroundChunkLoader::collect_completed_terrain_tasks -> Vec<String> with vec!["xyzzy".into()]
astraweave-terrain/src/biome.rs:555:32: delete - in BiomeConfig::swamp
astraweave-terrain/src/biome.rs:714:48: replace - with + in BiomeConfig::score_conditions
astraweave-terrain/src/biome.rs:718:38: replace * with / in BiomeConfig::score_conditions
astraweave-terrain/src/biome.rs:723:28: replace <= with > in BiomeConfig::score_conditions
astraweave-terrain/src/biome.rs:730:29: replace - with / in BiomeConfig::score_conditions
astraweave-terrain/src/biome.rs:730:29: replace - with + in BiomeConfig::score_conditions
astraweave-terrain/src/biome.rs:750:15: replace += with -= in BiomeConfig::score_conditions
astraweave-terrain/src/biome.rs:746:40: replace * with / in BiomeConfig::score_conditions
astraweave-terrain/src/biome.rs:750:15: replace += with *= in BiomeConfig::score_conditions
